OBJECTID,JURISDICTION,OWNERSHIP,MUNICIPALITY,NAME,FROM_,TO_,CLASS,CLASS_OP,DES_SURF_WIDTH,Shape_Length
9821,LOCAL,OSHAWA,OSHAWA,VALLEY DR,SHARBOT ST,SCUGOG AVE,C/R,COL,,83.4967994036946
9822,LOCAL,OSHAWA,OSHAWA,VALLEY DR,JASPER AVE/SUNVALLEY CT,SHARBOT ST,C/R,COL,,89.7337602625451
9823,LOCAL,OSHAWA,OSHAWA,FLEETWOOD DR,MARGATE DR,BENEFORD RD,C/R,COL,,172.034251214087
9824,LOCAL,OSHAWA,OSHAWA,KETTERING DR,ALDERSHOT DR,TOWNLINE RD N,C/R,COL,,110.96221308089
9825,LOCAL,OSHAWA,OSHAWA,NELSON ST,WOLFE ST,SHARON AVE,C/R,COL,,104.977717559089
9826,LOCAL,OSHAWA,OSHAWA,GREENHILL AVE,JACK GLENN ST,HARMONY RD N,C/R,COL,,292.727040949108
9827,LOCAL,OSHAWA,OSHAWA,ROXBOROUGH AVE,BOND ST E,RICHMOND ST E,L/R,L,,28.3047795748319
9828,LOCAL,OSHAWA,OSHAWA,VIMY AVE,HIGHLAND AVE,WILSON RD S,L/R,L,,91.5398370571574
9829,REGIONAL,DURHAM,OSHAWA,RITSON RD N,TAUNTON RD E,ORMOND DR,ART,B,,321.836390776487
9830,REGIONAL,DURHAM,OSHAWA,RITSON RD N,ORMOND DR,LUPLE AVE,ART,B,,553.09352598083
9831,LOCAL,OSHAWA,OSHAWA,GIBBONS ST,BOND ST W,BUENA VISTA AVE,C/R,COL,,70.3075235378649
9832,LOCAL,OSHAWA,OSHAWA,GRENFELL ST,FRONTENAC AVE,ELMGROVE AVE,L/R,L,,300.350511271425
9833,LOCAL,OSHAWA,OSHAWA,PINE AVE,45 m W OF WESTMOUNT ST,WESTMOUNT ST,L/R,L,,43.0532698665115
9834,LOCAL,OSHAWA,OSHAWA,ADMIRAL RD,NIPIGON ST,PARK RD N,L/R,L,,155.334310540196
9835,LOCAL,OSHAWA,OSHAWA,EDWARD BOLTON CRES,BEATRICE ST E,BEATRICE ST E,L/R,L,,287.756416242341
9836,LOCAL,OSHAWA,OSHAWA,CARTIER AVE,DURHAM ST,STEVENSON RD S,L/R,L,,101.051164826239
9837,LOCAL,OSHAWA,OSHAWA,BURK ST,QUEBEC ST,GIBB ST,L/R,L,,90.7845463091141
9838,LOCAL,OSHAWA,OSHAWA,BRIDLE RD,GULFSTREAM AVE,465 m S OF WINCHESTER,ART,C,,350.569910675749
9839,LOCAL,OSHAWA,OSHAWA,CHADBURN ST,ARTHUR ST,ATHOL ST E,L/R,L,,72.688895212267
9840,LOCAL,OSHAWA,OSHAWA,CHADBURN ST,BRUCE ST,ARTHUR ST,L/R,L,,68.2677282284199
9841,LOCAL,OSHAWA,OSHAWA,CHAUCER AVE,MACAULAY ST,LORING ST,L/R,L,,92.5776011302971
9842,LOCAL,OSHAWA,OSHAWA,CHAUCER AVE,ADDISON ST,MACAULAY ST,L/R,L,,80.5183040505999
9843,REGIONAL,DURHAM,OSHAWA,WILSON RD S,ATHOL ST E,KING ST E,ART,C,,128.532927020102
9844,REGIONAL,DURHAM,OSHAWA,WILSON RD N,KING ST E,ROGERS ST,ART,C,,90.309751960313
9845,REGIONAL,DURHAM,OSHAWA,STEVENSON RD N,LOWELL AVE,ANNAPOLIS AVE,ART,B,,85.0874335537512
9846,REGIONAL,DURHAM,OSHAWA,WILSON RD S,DIEPPE AVE,DEAN AVE,ART,C,,91.8613852698239
9847,REGIONAL,DURHAM,OSHAWA,RITSON RD S,CONANT ST,BLOOR ST E,ART,C,,384.500477667439
9848,REGIONAL,DURHAM,OSHAWA,RITSON RD N,OSHAWA BLVD N,BEATRICE ST E,ART,B,,383.168877363177
9849,LOCAL,OSHAWA,OSHAWA,TILBURY ST,COTTINGHAM CRES,COTTINGHAM CRES,L/R,L,,76.2876993527543
9850,LOCAL,OSHAWA,OSHAWA,KINMOUNT CRES,DWIGHT AVE,OXFORD ST,L/R,L,,523.174472355201
9851,LOCAL,OSHAWA,OSHAWA,HOWDEN RD E,DOWSON RD,RITSON RD N,400,A,,801.528984420665
9852,LOCAL,OSHAWA,OSHAWA,GREENLANE DR,PONDTAIL CT/GREENLANE CT,IDYLWOOD CT,L/R,L,,41.8494462183649
9853,LOCAL,OSHAWA,OSHAWA,RYERSON CRES,NIAGARA DR,BISHOP CT,L/R,L,,152.769457871759
9854,LOCAL,OSHAWA,OSHAWA,RYERSON CRES,BISHOP CT,CONESTOGA CT,L/R,L,,227.239513857756
9855,LOCAL,OSHAWA,OSHAWA,FEATHERWOOD CT,SOUTH LIMIT,WAVERLY ST N,L/R,L,,120.138512830511
9856,LOCAL,OSHAWA,OSHAWA,VALLEY DR,SCUGOG AVE,PHILLIP MURRAY AVE,C/R,COL,,217.339159917422
9857,LOCAL,OSHAWA,OSHAWA,VANCOUVER CT,HARLOW AVE/VANCOUVER ST,NORTH LIMIT,L/R,L,,259.596160922384
9858,LOCAL,OSHAWA,OSHAWA,VICTORIA ST,KING ST E,BOND ST E,L/R,L,,101.156673142613
9859,LOCAL,OSHAWA,OSHAWA,WAVERLY ST N,ROSSLAND RD W,ARUBA CRES,L/R,L,,151.49683659253
9860,LOCAL,OSHAWA,OSHAWA,WAVERLY ST N,ARUBA CRES,ARUBA CRES,L/R,L,,142.383819527002
9861,LOCAL,OSHAWA,OSHAWA,WAVERLY ST N,ARUBA CRES,BERMUDA AVE,L/R,L,,81.1550265043675
9862,LOCAL,OSHAWA,OSHAWA,WECKER DR,SCUGOG AVE,SHARBOT ST,L/R,L,,136.85976048015
9863,LOCAL,OSHAWA,OSHAWA,WECKER DR,GENEVA AVE,CEDAR ST,L/R,L,,99.7635855395627
9864,LOCAL,OSHAWA,OSHAWA,WECKER DR,BANFF AVE,GENEVA AVE,L/R,L,,86.9394835289496
9865,LOCAL,OSHAWA,OSHAWA,ROCKCLIFFE ST,BELVEDERE AVE,KING ST E,L/R,L,,119.19030574284
9866,LOCAL,OSHAWA,OSHAWA,BRIDLE RD,BRITANNIA AVE (ROUNDABOUT),IRIBELLE AVE,ART,C,,208.829272348059
9867,LOCAL,OSHAWA,OSHAWA,IRIBELLE AVE,NEW PROVIDENCE ST,BRIDLE RD,L/R,L,,79.3369651634207
9868,LOCAL,OSHAWA,OSHAWA,IRIBELLE AVE,STEEPLECHASE ST,NEW PROVIDENCE ST,L/R,L,,229.426630378299
9869,LOCAL,OSHAWA,OSHAWA,BRITANNIA AVE E,SIMCOE ST N,STEEPLECHASE ST,ART,C,,250.608356217947
9870,LOCAL,OSHAWA,OSHAWA,DUNEDIN CRES,ARBORWOOD DR,160m E OF ARBORWOOD DR,L/R,L,,99.8522904567895
9871,LOCAL,OSHAWA,OSHAWA,DUNEDIN CRES,ARBORWOOD DR,100m E OF ARBORWOOD DR,L/R,L,,161.071726979398
9872,REGIONAL,DURHAM,OSHAWA,THORNTON RD N,APPLE VALLEY LANE,MAHINA ST,ART,C,,215.785843197854
9873,REGIONAL,DURHAM,OSHAWA,STEVENSON RD S,WENTWORTH ST W,900 m N OF WENTWORTH (AT CNR),ART,C,,1063.55970751466
9874,REGIONAL,DURHAM,OSHAWA,RITSON RD N,BEATRICE ST E,PENTLAND ST,ART,B,,259.539676754376
9875,LOCAL,OSHAWA,OSHAWA,PARK RD S,55 m S OF COLLEGE AVE,COLLEGE AVE,L/R,L,,58.5303643982838
9876,LOCAL,OSHAWA,OSHAWA,SANDRA ST W,RAVINE RD,SIMCOE ST S,L/R,L,,251.512355872993
9877,LOCAL,OSHAWA,OSHAWA,MALAGA RD,PARK RD S,OXFORD ST,C/R,COL,,413.908761882818
